Gene stable ID	Gene name	Chromosome/scaffold name
ENSMUSG00000109507	Gm18559	7
ENSMUSG00000092457	Gm8835	17
ENSMUSG00000109309	AC150901.1	19
ENSMUSG00000083804	Gm13676	2
ENSMUSG00000101037	Gm28424	9
ENSMUSG00000052512	Nav2	7
ENSMUSG00000081122	Gm13678	2
ENSMUSG00000097445	Gm26631	9
ENSMUSG00000110827	Gm32281	9
ENSMUSG00000023039	Krt7	15
ENSMUSG00000032305	Fam219b	9
ENSMUSG00000112776	Gm6989	12
ENSMUSG00000105022	Gm43537	3
ENSMUSG00000064225	Paqr9	9
ENSMUSG00000102704	Gm38309	2
ENSMUSG00000087142	Gm12454	4
ENSMUSG00000028463	Car9	4
ENSMUSG00000036805	Noxa1	2
ENSMUSG00000085457	1110046J04Rik	13
ENSMUSG00000036769	Wdr44	X
ENSMUSG00000090142	Gm15795	1
ENSMUSG00000104095	Gm37315	1
ENSMUSG00000092142	Gm6482	14
ENSMUSG00000089914	4930486I03Rik	1
ENSMUSG00000043929	Klhl15	X
ENSMUSG00000043760	Pkhd1	1
ENSMUSG00000037085	Trmt12	15
ENSMUSG00000021408	Ripk1	13
ENSMUSG00000058856	Olfr952	9
ENSMUSG00000009073	Nf2	11
ENSMUSG00000104155	Gm38103	12
ENSMUSG00000085742	Gm13536	2
ENSMUSG00000041774	Ydjc	16
ENSMUSG00000110667	Gm45720	8
ENSMUSG00000113767	AC120540.2	12
ENSMUSG00000081153	Gm11401	11
ENSMUSG00000114103	Gm8557	12
ENSMUSG00000103569	Gm38067	1
ENSMUSG00000031789	Cngb1	8
ENSMUSG00000103975	Gm37676	1
ENSMUSG00000072387	Gm10356	3
ENSMUSG00000026434	Nucks1	1
ENSMUSG00000026788	Zbtb43	2
ENSMUSG00000062314	Olfr1505	19
ENSMUSG00000114686	AC141425.1	14
ENSMUSG00000022354	Ndufb9	15
ENSMUSG00000098837	Gm20111	14
ENSMUSG00000109292	Gm44564	7
ENSMUSG00000097985	Gm5274	3
ENSMUSG00000108835	Gm44566	7
ENSMUSG00000037075	Rnf139	15
ENSMUSG00000056260	Lrif1	3
ENSMUSG00000105028	Gm18747	16
ENSMUSG00000100389	Rbm6-ps2	1
ENSMUSG00000005483	Dnajb1	8
ENSMUSG00000022295	Atp6v1c1	15
ENSMUSG00000050891	Tatdn1	15
ENSMUSG00000110999	Olfr1075-ps1	2
ENSMUSG00000112207	AC132384.4	10
ENSMUSG00000076861	Trav18	14
ENSMUSG00000038965	Ube2l3	16
ENSMUSG00000076755	Tcrg-V1	13
ENSMUSG00000112579	AC132384.10	10
ENSMUSG00000004044	Cavin1	11
ENSMUSG00000029861	Fam131b	6
ENSMUSG00000028246	Faxc	4
ENSMUSG00000044583	Tlr7	X
ENSMUSG00000038570	Saxo2	7
ENSMUSG00000104695	Gm30023	3
ENSMUSG00000104012	Gm37364	7
ENSMUSG00000081707	Gm11343	13
ENSMUSG00000102333	Gm37235	7
ENSMUSG00000021338	Carmil1	13
ENSMUSG00000112562	AC132384.8	10
ENSMUSG00000017747	Ghdc	11
ENSMUSG00000112325	AC132384.6	10
ENSMUSG00000042282	Gucy2f	X
ENSMUSG00000112268	AC132384.5	10
ENSMUSG00000042404	Dennd4b	3
ENSMUSG00000112735	Gm46191	10
ENSMUSG00000087554	Gm15646	16
ENSMUSG00000085425	Gm15648	16
ENSMUSG00000112010	AC132384.2	10
ENSMUSG00000111105	Gm5023	2
ENSMUSG00000022768	Ccdc116	16
ENSMUSG00000032127	Vps11	9
ENSMUSG00000112638	AC132384.11	10
ENSMUSG00000112834	AC132384.14	10
ENSMUSG00000060811	Gm10088	16
ENSMUSG00000111998	AC132384.1	10
ENSMUSG00000028639	Ybx1	4
ENSMUSG00000034854	Mfsd12	10
ENSMUSG00000013236	Ptprs	17
ENSMUSG00000083986	Gm12213	11
ENSMUSG00000060147	Serpinb6a	13
ENSMUSG00000029344	Tpst2	5
ENSMUSG00000028137	Celf3	3
ENSMUSG00000102780	Gm38253	3
ENSMUSG00000052139	Babam2	5
ENSMUSG00000018507	Trpv2	11
ENSMUSG00000076862	Trav19	14
ENSMUSG00000108418	Gm44627	7
ENSMUSG00000036813	Entpd8	2
ENSMUSG00000032593	Amigo3	9
ENSMUSG00000063696	Gm8730	8
ENSMUSG00000109848	Gm45391	8
ENSMUSG00000114713	AC154643.1	13
ENSMUSG00000109701	Gm32531	8
ENSMUSG00000083620	Gm15529	6
ENSMUSG00000110340	1600027J07Rik	8
ENSMUSG00000075249	Fsip2	2
ENSMUSG00000014550	Rbsn	6
ENSMUSG00000026087	Mrpl30	1
ENSMUSG00000020235	Fzr1	10
ENSMUSG00000003531	Dgcr6	16
ENSMUSG00000114270	AC134860.2	13
ENSMUSG00000021418	Rpp40	13
ENSMUSG00000031958	Ldhd	8
ENSMUSG00000068663	Clec16a	16
ENSMUSG00000055691	Gja6	X
ENSMUSG00000092221	Gm7230	7
ENSMUSG00000113029	Gm40578	12
ENSMUSG00000021771	Vdac2	14
ENSMUSG00000031292	Cdkl5	X
ENSMUSG00000087590	Epb41l4aos	18
ENSMUSG00000072599	Ear-ps2	14
ENSMUSG00000021281	Tnfaip2	12
ENSMUSG00000114378	AC154682.1	14
ENSMUSG00000115463	AC158777.2	15
ENSMUSG00000103629	Gm5694	1
ENSMUSG00000110985	Olfr953-ps1	9
ENSMUSG00000085995	Gm2788	7
ENSMUSG00000058669	Nkx2-9	12
ENSMUSG00000038141	Tmem181a	17
ENSMUSG00000100825	Itpa-ps2	9
ENSMUSG00000112078	AC132384.3	10
ENSMUSG00000086585	Gm16126	9
ENSMUSG00000079499	6530402F18Rik	2
ENSMUSG00000115842	AC154766.1	17
ENSMUSG00000104336	Gm34240	3
ENSMUSG00000112565	AC132384.9	10
ENSMUSG00000103834	Gm37613	7
ENSMUSG00000086248	Gm16127	9
ENSMUSG00000112699	AC132384.13	10
ENSMUSG00000090968	Gm3978	7
ENSMUSG00000108950	9130015G15Rik	7
ENSMUSG00000015354	Pcolce2	9
ENSMUSG00000107716	Gm43997	6
ENSMUSG00000094745	Olfr954	9
ENSMUSG00000102148	Gm38059	7
ENSMUSG00000112359	AC132384.7	10
ENSMUSG00000108050	Gm44472	6
ENSMUSG00000110093	Gm45282	7
ENSMUSG00000098052	Gm5300	6
ENSMUSG00000109203	Gm32849	7
ENSMUSG00000035513	Ntng2	2
ENSMUSG00000097943	Gm7833	6
ENSMUSG00000112618	AC160393.1	12
ENSMUSG00000014602	Kif1a	1
ENSMUSG00000109877	Gm45609	2
ENSMUSG00000086139	Gm11211	4
ENSMUSG00000103476	Gm34302	3
ENSMUSG00000112282	Gm19989	10
ENSMUSG00000107940	Gm44100	6
ENSMUSG00000085223	Gm11210	4
ENSMUSG00000085558	4930412C18Rik	4
ENSMUSG00000061911	Myt1l	12
ENSMUSG00000060510	Zfp266	9
ENSMUSG00000112098	Gm18876	10
ENSMUSG00000108187	4930511E03Rik	6
ENSMUSG00000087254	2310005A03Rik	2
ENSMUSG00000027597	Ahcy	2
ENSMUSG00000033545	Znrf1	8
ENSMUSG00000109023	Gm44565	7
ENSMUSG00000101936	Gm28164	9
ENSMUSG00000090308	Gm5174	10
ENSMUSG00000061388	Csn1s2b	5
ENSMUSG00000109045	Gm45084	7
ENSMUSG00000030655	Smg1	7
ENSMUSG00000098074	Gm26993	19
ENSMUSG00000112666	AC132384.12	10
ENSMUSG00000089979	Gm15954	16
ENSMUSG00000102220	Rpl23a-ps5	3
ENSMUSG00000030546	Plin1	7
ENSMUSG00000109234	Gm44561	7
ENSMUSG00000003526	Prodh	16
ENSMUSG00000102301	Ighv8-2	12
ENSMUSG00000103491	Gm10730	3
ENSMUSG00000076757	Tcrg-C4	13
ENSMUSG00000030031	Kbtbd8	6
ENSMUSG00000059301	Gm5434	12
ENSMUSG00000106223	2400006E01Rik	3
ENSMUSG00000038215	Cep44	8
ENSMUSG00000098799	Trgj4	13
ENSMUSG00000109116	Sycp1-ps1	7
ENSMUSG00000108348	Gm42372	7
ENSMUSG00000062012	Zfp13	17
ENSMUSG00000103798	Gm2229	3
ENSMUSG00000060742	Olfr1076	2
ENSMUSG00000110920	AC154374.1	9
ENSMUSG00000030270	Cpne9	6
ENSMUSG00000024869	Nudt8	19
ENSMUSG00000101636	4930579H20Rik	10
ENSMUSG00000111348	Gm19531	9
ENSMUSG00000103488	Gm37997	19
ENSMUSG00000110824	AC133947.1	9
ENSMUSG00000019899	Lama2	10
ENSMUSG00000024871	Doc2g	19
ENSMUSG00000032192	Gnb5	9
ENSMUSG00000100313	Gm28323	1
ENSMUSG00000101724	Gm29453	1
ENSMUSG00000024590	Lmnb1	18
ENSMUSG00000004542	Psg19	7
ENSMUSG00000108859	Gm44776	8
ENSMUSG00000106668	Iglj1	16
ENSMUSG00000076934	Iglv1	16
ENSMUSG00000104000	Gm38335	3
ENSMUSG00000018417	Myo1b	1
ENSMUSG00000085413	Kbtbd8os	6
ENSMUSG00000105231	Iglj3	16
ENSMUSG00000105906	Iglc1	16
ENSMUSG00000106405	Iglj3p	16
ENSMUSG00000106567	2010309G21Rik	16
ENSMUSG00000091486	Gm7953	14
ENSMUSG00000021731	Mrps30	13
ENSMUSG00000102745	Gm37600	1
ENSMUSG00000105547	Iglc3	16
ENSMUSG00000093863	Gm7954	14
ENSMUSG00000109716	Gm42196	3
ENSMUSG00000103257	Gm7977	3
ENSMUSG00000091016	Gm2878	14
ENSMUSG00000001750	Tcirg1	19
ENSMUSG00000027695	Pld1	3
ENSMUSG00000110949	Nudt8	19
ENSMUSG00000010529	Gm266	12
ENSMUSG00000026358	Rgs1	1
ENSMUSG00000109699	Gm45277	8
ENSMUSG00000024187	Fam234a	17
ENSMUSG00000110336	4933400L20Rik	8
ENSMUSG00000026313	Hdac4	1
ENSMUSG00000019302	Atp6v0a1	11
ENSMUSG00000028865	Cd164l2	4
ENSMUSG00000031991	Spata19	9
ENSMUSG00000086107	Gm16312	19
ENSMUSG00000007653	Gabrb2	11
ENSMUSG00000038506	Dcun1d2	8
ENSMUSG00000103509	Gm38372	1
ENSMUSG00000051285	Pcmtd1	1
ENSMUSG00000109746	Gm7499	8
ENSMUSG00000082585	Gm15387	15
ENSMUSG00000020234	4930404N11Rik	10
ENSMUSG00000021072	Tmx1	12
ENSMUSG00000025215	Tlx1	19
ENSMUSG00000092346	Tlx1os	19
ENSMUSG00000049649	Gpr3	4
ENSMUSG00000031293	Rs1	X
ENSMUSG00000114668	CT030705.2	13
ENSMUSG00000018168	Ikzf3	11
ENSMUSG00000041117	Ccdc8	7
ENSMUSG00000114365	CT030705.1	13
ENSMUSG00000082148	Gm12266	11
ENSMUSG00000100727	1700003P14Rik	13
ENSMUSG00000098201	Gm26983	1
ENSMUSG00000033767	Tmem131l	3
ENSMUSG00000111678	Olfr1077-ps1	2
ENSMUSG00000028008	Asic5	3
ENSMUSG00000080924	Olfr1078-ps1	2
ENSMUSG00000085132	Gm12265	11
ENSMUSG00000101001	Gm3121	9
ENSMUSG00000110019	Gm8748	8
ENSMUSG00000099947	Gm28660	9
ENSMUSG00000000538	Tom1l2	11
ENSMUSG00000108313	Gm45052	7
ENSMUSG00000084981	Gm15962	19
ENSMUSG00000102524	Ighv1-2	12
ENSMUSG00000075179	Olfr1079	2
ENSMUSG00000028139	Riiad1	3
ENSMUSG00000031494	Cd209a	8
ENSMUSG00000107812	Gm43935	6
ENSMUSG00000108393	Gm32633	7
ENSMUSG00000095981	Ighv10-1	12
ENSMUSG00000087530	Gm15533	7
ENSMUSG00000024694	Keg1	19
ENSMUSG00000111544	4930534H03Rik	10
ENSMUSG00000110053	Gm29682	8
ENSMUSG00000072680	Tmem254c	14
ENSMUSG00000042828	Trim72	7
ENSMUSG00000005892	Trh	6
ENSMUSG00000083338	Gm12475	4
ENSMUSG00000104869	Gm42544	3
ENSMUSG00000090564	A430057M04Rik	14
ENSMUSG00000031871	Cdh5	8
ENSMUSG00000101941	Gm28979	9
ENSMUSG00000102641	Ighv1-3	12
ENSMUSG00000023120	Gm853	4
ENSMUSG00000085763	Smc2os	4
ENSMUSG00000110870	AC122188.1	10
ENSMUSG00000114991	AC171241.1	14
ENSMUSG00000110847	Gm18705	10
ENSMUSG00000021773	Comtd1	14
ENSMUSG00000095442	Ighv1-4	12
ENSMUSG00000111525	AC142407.1	10
ENSMUSG00000107490	Gm44058	6
ENSMUSG00000046949	Nqo2	13
ENSMUSG00000111591	AC123944.2	10
ENSMUSG00000115687	AC171241.2	14
ENSMUSG00000111051	AC123944.1	10
ENSMUSG00000090147	Gm3329	19
ENSMUSG00000024640	Psat1	19
ENSMUSG00000103875	Ighv10-2	12
ENSMUSG00000028675	Pnrc2	4
ENSMUSG00000051279	Gdf6	4
ENSMUSG00000107628	Gm44282	6
ENSMUSG00000020919	Stat5b	11
ENSMUSG00000102565	Gm37036	1
ENSMUSG00000038563	Efl1	7
ENSMUSG00000103101	Gm37048	1
ENSMUSG00000028777	Gnat3	5
ENSMUSG00000108437	Gm19366	7
ENSMUSG00000090505	Gm3486	14
ENSMUSG00000113728	CT030657.3	13
ENSMUSG00000098192	Gm3534	14
ENSMUSG00000028681	Ptch2	4
ENSMUSG00000108696	Gm5738	7
ENSMUSG00000061330	Gm6436	13
ENSMUSG00000079266	Gm6490	14
ENSMUSG00000021750	Fam107a	14
ENSMUSG00000051817	Sox12	2
ENSMUSG00000090519	Gm17061	14
ENSMUSG00000000881	Dlg3	X
ENSMUSG00000113295	CT030657.1	13
ENSMUSG00000112623	4933436P19Rik	10
ENSMUSG00000114023	Gm6474	13
ENSMUSG00000109632	Gm31479	7
ENSMUSG00000055704	Gm9978	10
ENSMUSG00000113471	CT030657.2	13
ENSMUSG00000026209	Dnpep	1
ENSMUSG00000112842	AC025913.2	10
ENSMUSG00000113899	CT030657.4	13
ENSMUSG00000030515	Tarsl2	7
ENSMUSG00000030616	Sytl2	7
ENSMUSG00000036641	Ccdc148	2
ENSMUSG00000074682	Zcchc3	2
ENSMUSG00000103478	4930433J02Rik	1
ENSMUSG00000111782	AC123803.1	10
ENSMUSG00000111181	AC167017.1	9
ENSMUSG00000013584	Aldh1a2	9
ENSMUSG00000108381	Gm9299	7
ENSMUSG00000095135	Gm21858	Y
ENSMUSG00000111657	Gm31592	10
ENSMUSG00000102819	Gm37817	4
ENSMUSG00000033697	Arhgap39	15
ENSMUSG00000114254	CU074400.1	13
ENSMUSG00000103843	Gm31266	3
ENSMUSG00000083430	Gm13006	4
ENSMUSG00000115748	AC102291.3	15
ENSMUSG00000025764	Jade1	3
ENSMUSG00000081740	Gm14279	2
ENSMUSG00000114998	AC102291.2	15
ENSMUSG00000104461	Gm37662	1
ENSMUSG00000082329	Gm14287	2
ENSMUSG00000036270	Edc4	8
ENSMUSG00000114992	AC102291.1	15
ENSMUSG00000087445	Gm14286	2
ENSMUSG00000100195	Gm29244	Y
ENSMUSG00000006235	Epor	9
ENSMUSG00000113944	AC122354.1	12
ENSMUSG00000062585	Cnr2	4
ENSMUSG00000096780	Tmem181b-ps	17
ENSMUSG00000113302	Gm32219	12
ENSMUSG00000114159	AC159238.1	12
ENSMUSG00000114005	Gm24474	12
ENSMUSG00000112804	Gm30534	10
ENSMUSG00000112950	Gm32369	12
ENSMUSG00000104748	Gm43592	5
ENSMUSG00000030963	Umod	7
ENSMUSG00000099408	Gm28311	Y
ENSMUSG00000103931	Gm36962	10
ENSMUSG00000113900	Gm40437	12
ENSMUSG00000063447	Ube2d2b	5
ENSMUSG00000112751	AC101709.1	10
ENSMUSG00000112472	AC153800.1	10
ENSMUSG00000112052	Gm17917	10
ENSMUSG00000105143	Gm8069	5
ENSMUSG00000011831	Evi5	5
ENSMUSG00000085852	Gm13807	2
ENSMUSG00000106126	Gm43781	5
ENSMUSG00000042436	Mfap4	11
ENSMUSG00000087384	Gm15558	16
ENSMUSG00000101207	Gm28310	Y
ENSMUSG00000028005	Gucy1b3	3
ENSMUSG00000082800	Gm13560	2
ENSMUSG00000082048	Gm11481	4
ENSMUSG00000086858	Trav20	14
ENSMUSG00000084250	Gm13550	2
ENSMUSG00000106113	Gm43779	5
ENSMUSG00000076863	Trav21-dv12	14
ENSMUSG00000106552	Obox4-ps5	7
ENSMUSG00000105702	Gm43780	5
ENSMUSG00000082989	Gm13557	2
ENSMUSG00000030827	Fgf21	7
ENSMUSG00000091462	Gm17084	13
ENSMUSG00000078681	Tm2d3	7
ENSMUSG00000100524	Gm28418	1
ENSMUSG00000029571	Tmem106b	6
ENSMUSG00000090628	Gm17083	13
ENSMUSG00000070877	Ldlrad1	4
ENSMUSG00000104110	Gm37295	3
ENSMUSG00000098309	Gtpbp4-ps2	7
ENSMUSG00000093833	Gm7970	14
ENSMUSG00000112117	RMST_1	10
ENSMUSG00000026984	Il1f6	2
ENSMUSG00000107742	9530085L11Rik	8
ENSMUSG00000099542	Gm28504	Y
ENSMUSG00000038497	Tmco3	8
ENSMUSG00000022797	Tfrc	16
ENSMUSG00000020264	Slc36a2	11
ENSMUSG00000105384	Gm43396	5
ENSMUSG00000115116	AC102327.1	15
ENSMUSG00000101126	Gm10538	1
ENSMUSG00000040747	Cd53	3
ENSMUSG00000110018	5430437J10Rik	15
ENSMUSG00000101565	1700003L19Rik	16
ENSMUSG00000108991	Gm45807	7
ENSMUSG00000108984	Gm44916	7
ENSMUSG00000115270	AC164433.1	14
ENSMUSG00000048538	Gm9826	1
ENSMUSG00000086690	4933406J10Rik	7
ENSMUSG00000102499	Gm36984	1
ENSMUSG00000020547	Bzw2	12
ENSMUSG00000108855	Gm44917	7
ENSMUSG00000022175	Lrp10	14
ENSMUSG00000037418	Best1	19
ENSMUSG00000101550	Gm29385	9
ENSMUSG00000061486	Gm5161	9
ENSMUSG00000108252	Gm44059	6
ENSMUSG00000027536	Chmp4c	3
ENSMUSG00000001034	Mapk7	11
ENSMUSG00000103317	Gm38359	1
ENSMUSG00000107609	Gm20177	6
ENSMUSG00000102760	Gm37258	1
ENSMUSG00000103722	2700078F05Rik	1
ENSMUSG00000108097	Gm44060	6
ENSMUSG00000008461	Fut1	7
ENSMUSG00000003062	Stard3nl	13
ENSMUSG00000022995	Enah	1
ENSMUSG00000069184	Zfp72	13
ENSMUSG00000083635	Gm11480	4
ENSMUSG00000085951	Gm12145	11
ENSMUSG00000098564	Ranbp2-ps3	7
ENSMUSG00000113315	Gm8227	13
ENSMUSG00000114532	CT025547.1	14
ENSMUSG00000103521	Gm29730	1
ENSMUSG00000082060	Gm15048	X
ENSMUSG00000107630	Gm44061	6
ENSMUSG00000021749	Oit1	14
ENSMUSG00000027534	Snx16	3
ENSMUSG00000093736	Obox4-ps38	7
ENSMUSG00000107151	Gm43810	5
ENSMUSG00000105617	Gm43809	5
ENSMUSG00000104098	AA619741	1
ENSMUSG00000109909	Gm45663	8
ENSMUSG00000024073	Birc6	17
ENSMUSG00000099198	Obox4-ps39	7
ENSMUSG00000106894	Gm17130	5
ENSMUSG00000106918	Mrpl33	5
ENSMUSG00000038564	Ift172	5
ENSMUSG00000087541	Hopxos	5
ENSMUSG00000073267	Gm1993	X
ENSMUSG00000059325	Hopx	5
ENSMUSG00000109254	Gm44588	7
ENSMUSG00000115767	AC164433.2	14
ENSMUSG00000076864	Trdv1	14
ENSMUSG00000101148	Gm28200	Y
ENSMUSG00000095905	Selenok-ps4	13
ENSMUSG00000020519	Sap30l	11
ENSMUSG00000024120	Lrpprc	17
ENSMUSG00000107531	E330037G11Rik	8
ENSMUSG00000101580	Gm28201	Y
ENSMUSG00000104650	Trav22	14
ENSMUSG00000076866	Trdv2-2	14
ENSMUSG00000048285	Frmd6	12
ENSMUSG00000067787	Blcap	2
ENSMUSG00000086996	4933416E14Rik	X
ENSMUSG00000113626	Gm7240	13
ENSMUSG00000105963	Gm43647	14
ENSMUSG00000004070	Hmox2	16
ENSMUSG00000029512	Ulk1	5
ENSMUSG00000096891	Mup-ps8	4
ENSMUSG00000076865	Trdv2-1	14
ENSMUSG00000098469	Ranbp2-ps4	7
ENSMUSG00000112390	Gm20208	12
ENSMUSG00000094555	Obox4-ps6	7
ENSMUSG00000104173	Gm37703	2
ENSMUSG00000112663	C630031E19Rik	12
ENSMUSG00000093509	Obox3-ps3	7
ENSMUSG00000083388	Gm11550	3
ENSMUSG00000083172	Gm13409	2
ENSMUSG00000107265	Gm15469	5
ENSMUSG00000105505	Obox4-ps7	7
ENSMUSG00000062077	Trim54	5
ENSMUSG00000067786	Nnat	2
ENSMUSG00000090429	Gm17271	15
ENSMUSG00000085702	Mecomos	3
ENSMUSG00000115276	AC149588.1	15
ENSMUSG00000029136	Rbks	5
ENSMUSG00000022255	Mtdh	15
ENSMUSG00000026436	Elk4	1
ENSMUSG00000013974	Mcemp1	8
ENSMUSG00000027684	Mecom	3
ENSMUSG00000040197	Cd209e	8
ENSMUSG00000103613	Gm34882	1
ENSMUSG00000104358	Gm37127	1
ENSMUSG00000058620	Adra2b	2
ENSMUSG00000104002	Gm38336	1
ENSMUSG00000104368	2010103J01Rik	1
ENSMUSG00000037971	1110032A03Rik	9
ENSMUSG00000102537	Gm37224	1
ENSMUSG00000105848	Gm42683	13
ENSMUSG00000105759	Gm42425	5
ENSMUSG00000037503	Fam168b	1
ENSMUSG00000039318	Rab3gap2	1
ENSMUSG00000090220	Pitpnm2os1	5
ENSMUSG00000113511	Gm19046	12
ENSMUSG00000110912	Olfr1080	2
ENSMUSG00000113349	AC132336.1	12
ENSMUSG00000049230	Gm9833	3
ENSMUSG00000062382	Ftl1-ps1	13
ENSMUSG00000113732	Gm18115	12
ENSMUSG00000029406	Pitpnm2	5
ENSMUSG00000103045	Gm37308	3
ENSMUSG00000036188	Ankmy2	12
ENSMUSG00000113819	CT009546.3	13
ENSMUSG00000111696	AC127302.3	9
ENSMUSG00000103709	Nras-ps2	1
ENSMUSG00000106444	Gm18748	16
ENSMUSG00000113311	CT009486.1	13
ENSMUSG00000107140	Gm43811	5
ENSMUSG00000044860	Gm1123	9
ENSMUSG00000108052	Gm8479	6
ENSMUSG00000111672	AC127302.2	9
ENSMUSG00000103124	Gm37389	3
ENSMUSG00000111269	AC127302.1	9
ENSMUSG00000026664	Phyh	2
ENSMUSG00000028673	Fuca1	4
ENSMUSG00000106039	Iglc4	16
ENSMUSG00000059149	Mfsd4a	1
ENSMUSG00000107012	4930528J11Rik	6
ENSMUSG00000027528	Fabp9	3
ENSMUSG00000103729	Gm37098	3
ENSMUSG00000103420	Gm37537	3
ENSMUSG00000113212	CT009718.3	13
ENSMUSG00000112964	E430024I08Rik	13
ENSMUSG00000021427	Ssr1	13
ENSMUSG00000070421	Olfr658	7
ENSMUSG00000093582	Vmn2r-ps115	17
ENSMUSG00000083609	Gm16007	5
ENSMUSG00000111506	AC100406.2	9
ENSMUSG00000111613	Gm4977	9
ENSMUSG00000106288	Gm43593	5
ENSMUSG00000093602	Vmn2r-ps116	17
ENSMUSG00000020000	Moxd1	10
ENSMUSG00000111161	AC100406.1	9
ENSMUSG00000052468	Pmp2	3
ENSMUSG00000111263	Gm7680	9
ENSMUSG00000105015	Gm6059	3
ENSMUSG00000046338	Gpat2	2
ENSMUSG00000089832	Shkbp1	7
ENSMUSG00000023232	Serinc2	4
ENSMUSG00000093531	Vmn2r-ps117	17
ENSMUSG00000086944	Gm15859	16
ENSMUSG00000022667	Cd200r1	16
ENSMUSG00000004071	Cdip1	16
ENSMUSG00000111728	AC154319.1	9
ENSMUSG00000102768	Gm19002	1
ENSMUSG00000057614	Gnai1	5
ENSMUSG00000100807	Gm29521	9
ENSMUSG00000024274	Zscan30	18
ENSMUSG00000089665	Fcor	8
ENSMUSG00000115185	AC165138.1	15
ENSMUSG00000037910	1700018B24Rik	3
ENSMUSG00000102963	Gm37945	9
ENSMUSG00000104041	Gm37562	9
ENSMUSG00000022243	Slc45a2	15
ENSMUSG00000115106	AC133283.1	15
ENSMUSG00000032537	Ephb1	9
ENSMUSG00000109490	Gm19126	7
ENSMUSG00000097797	Gm26901	1
ENSMUSG00000079105	C7	15
ENSMUSG00000032059	Alg9	9
ENSMUSG00000102181	Gm37190	3
ENSMUSG00000041733	Coq5	5
ENSMUSG00000044287	Nrn1l	8
ENSMUSG00000086939	Gm13530	2
ENSMUSG00000104540	Gm3527	5
ENSMUSG00000048707	Tprn	2
ENSMUSG00000111743	CT943659.1	9
ENSMUSG00000111870	Gm7692	9
ENSMUSG00000063281	Zfp35	18
ENSMUSG00000109277	Gm39121	8
ENSMUSG00000040236	Trappc5	8
ENSMUSG00000096499	Ighv1-5	12
ENSMUSG00000091491	Vmn2r97	17
ENSMUSG00000025858	Get4	5
ENSMUSG00000024238	Zeb1	18
ENSMUSG00000108888	Gm45231	8
ENSMUSG00000082843	4930448K20Rik	4
ENSMUSG00000080720	Gm16077	15
ENSMUSG00000060735	Rxfp3	15
ENSMUSG00000021040	Slirp	12
ENSMUSG00000095700	Ighv10-3	12
ENSMUSG00000062515	Fabp4	3
ENSMUSG00000039137	Whrn	4
ENSMUSG00000004540	Psg17	7
ENSMUSG00000027230	Creb3l1	2
ENSMUSG00000051469	Zfp24	18
ENSMUSG00000086464	Gm15835	16
ENSMUSG00000082610	Gm13829	5
ENSMUSG00000081306	Gm15266	X
ENSMUSG00000087316	Gm11917	4
ENSMUSG00000103915	Ighv1-6	12
ENSMUSG00000086339	Gm11916	4
ENSMUSG00000084095	Gm11834	4
ENSMUSG00000032680	6820408C15Rik	2
ENSMUSG00000080911	Gm11918	4
ENSMUSG00000039219	Arid4b	13
ENSMUSG00000102263	Gm31415	3
ENSMUSG00000026377	Nifk	1
ENSMUSG00000085533	Gm12146	11
ENSMUSG00000104186	Gm37819	3
ENSMUSG00000055415	Atp10b	11
ENSMUSG00000103027	Gm37684	3
ENSMUSG00000102612	Gm37845	1
ENSMUSG00000093607	Vmn2r-ps118	17
ENSMUSG00000061584	Lyg2	1
ENSMUSG00000037509	Arhgef4	1
ENSMUSG00000006333	Rps9	7
ENSMUSG00000022123	Scel	14
ENSMUSG00000110854	AC157476.1	9
ENSMUSG00000074345	Tnfaip8l3	9
ENSMUSG00000001632	Brpf1	6
ENSMUSG00000107584	Gm18716	6
ENSMUSG00000107596	Gm18913	6
ENSMUSG00000028358	Zfp618	4
ENSMUSG00000079036	Alkbh1	12
ENSMUSG00000111379	AC157476.2	9
ENSMUSG00000029917	C130060K24Rik	6
ENSMUSG00000110816	Gm19178	9
ENSMUSG00000099325	Gm19014	14
ENSMUSG00000001774	Chordc1	9
ENSMUSG00000039234	Sec24d	3
ENSMUSG00000092265	Gm5682	17
ENSMUSG00000037845	Fdxacb1	9
ENSMUSG00000102679	Gm20557	3
ENSMUSG00000082933	Gm14811	X
ENSMUSG00000092362	Gm20392	17
ENSMUSG00000100940	Gm29372	1
ENSMUSG00000081397	Gm14815	X
ENSMUSG00000108471	Gm18855	7
ENSMUSG00000063087	Gm10125	18
ENSMUSG00000086170	Gm12144	11
ENSMUSG00000086791	Gm12147	11
ENSMUSG00000111548	Gm8162	9
ENSMUSG00000041737	Tmem45b	9
ENSMUSG00000035900	Gramd4	15
ENSMUSG00000043923	Ccdc84	9
ENSMUSG00000108140	Gm44803	6
ENSMUSG00000108279	Gm44024	6
ENSMUSG00000114485	AC159188.1	13
ENSMUSG00000017195	Zpbp2	11
ENSMUSG00000091135	Lgals1-ps2	15
ENSMUSG00000114831	AC159188.3	13
ENSMUSG00000068206	Pick1	15
ENSMUSG00000095200	Ighv1-7	12
ENSMUSG00000021782	Dlg5	14
ENSMUSG00000080923	Gm5400	X
ENSMUSG00000074128	Gm10631	8
ENSMUSG00000003099	Ppp5c	7
ENSMUSG00000082759	Gm14826	X
ENSMUSG00000031872	Bean1	8
ENSMUSG00000084214	Gm14825	X
